venue_name,street,city,region,postal_code,website,instagram,facebook,google_maps,search_query,robots_url,scrape_allowed,notes
America's Best Wings,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=America's%20Best%20Wings%20%20Charlotte%20NC,"America's Best Wings  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
American Burger,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=American%20Burger%20%20Charlotte%20NC,"American Burger  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
American Deli,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=American%20Deli%20%20Charlotte%20NC,"American Deli  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
American Deli,3210 Wilkinson Boulevard,Charlotte,NC,28208,,,,https://www.google.com/maps/search/?api=1&query=American%20Deli%203210%20Wilkinson%20Boulevard%20Charlotte%20NC,"American Deli 3210 Wilkinson Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
American Roadside Burgers,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=American%20Roadside%20Burgers%20%20Charlotte%20NC,"American Roadside Burgers  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Angeline's,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Angeline's%20%20Charlotte%20NC,"Angeline's  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Angry Ale's,1518 Montford Drive,Charlotte,NC,28209,,,,https://www.google.com/maps/search/?api=1&query=Angry%20Ale's%201518%20Montford%20Drive%20Charlotte%20NC,"Angry Ale's 1518 Montford Drive Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Anita’s Mexican Grill,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Anita%E2%80%99s%20Mexican%20Grill%20%20Charlotte%20NC,"Anita’s Mexican Grill  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Anzi's Pizza,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Anzi's%20Pizza%20%20Charlotte%20NC,"Anzi's Pizza  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Applebee's,8700 J W Clay Boulevard,Charlotte,NC,28262,https://restaurants.applebees.com/en-us/nc/charlotte/8700-j.-w.-clay-89023,,,https://www.google.com/maps/search/?api=1&query=Applebee's%208700%20J%20W%20Clay%20Boulevard%20Charlotte%20NC,"Applebee's 8700 J W Clay Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://restaurants.applebees.com/robots.txt,true,
