venue_name,street,neighborhood_hint,website,scrape_allowed,robots_url,google_maps,search_query,note
500 Degrees New York Style Pizzeria,6037 South Boulevard,28217,,,,https://www.google.com/maps/search/?api=1&query=500%20Degrees%20New%20York%20Style%20Pizzeria%206037%20South%20Boulevard%20Charlotte%20NC,"500 Degrees New York Style Pizzeria 6037 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Pisco,,,,,,https://www.google.com/maps/search/?api=1&query=Pisco%20%20Charlotte%20NC,"Pisco  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Wicked Weed Brewing,,,,,,https://www.google.com/maps/search/?api=1&query=Wicked%20Weed%20Brewing%20%20Charlotte%20NC,"Wicked Weed Brewing  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Crown Station,,,https://www.crownstationpub.com,false,https://www.crownstationpub.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Crown%20Station%203629%20North%20Davidson%20Street%20Charlotte%20NC,"Crown Station 3629 North Davidson Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Divine Barrel Brewing,,,,,,https://www.google.com/maps/search/?api=1&query=Divine%20Barrel%20Brewing%20%20Charlotte%20NC,"Divine Barrel Brewing  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Halo,,,,,,https://www.google.com/maps/search/?api=1&query=Halo%20%20Charlotte%20NC,"Halo  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Halal Street Food,,,,,,https://www.google.com/maps/search/?api=1&query=Halal%20Street%20Food%20%20Charlotte%20NC,"Halal Street Food  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
OMG Donuts & Coffee,,,,,,https://www.google.com/maps/search/?api=1&query=OMG%20Donuts%20%26%20Coffee%20%20Charlotte%20NC,"OMG Donuts & Coffee  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Edge City Brewery,,,https://linktr.ee/edgecitybrewery,false,https://linktr.ee/robots.txt,https://www.google.com/maps/search/?api=1&query=Edge%20City%20Brewery%20%20Charlotte%20NC,"Edge City Brewery  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Freemore Tavern,,,,,,https://www.google.com/maps/search/?api=1&query=Freemore%20Tavern%20%20Charlotte%20NC,"Freemore Tavern  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
